企業名,ティッカーシンボル,平均成長率,成長率20%超,最新営業利益率,営業利益率10%超,上場日,上場5年以内
三井住友建設,1821,0.015084698219824352,False,-0.040902965841150225,False,2001-01-01,False
大豊建設,1822,0.014325643151102074,False,0.032457545658442805,False,2001-01-01,False
佐田建設,1826,0.0751231280653667,False,0.06052456839309429,False,2001-01-01,False
ナカノフドー建設,1827,0.017900902774344824,False,0.024978594768386656,False,2001-01-01,False
田辺工業,1828,-0.04138127141207948,False,0.06363842699146723,False,2007-03-22,False
奥村組,1833,-0.030682835203614072,False,0.04749801557075392,False,2001-01-01,False
東鉄工業,1835,0.05918970917953662,False,0.07276353517782219,False,2001-01-01,False
土屋ホールディングス,1840,-0.05697738441658784,False,0.01142802314967697,False,2001-01-01,False
サンユー建設,1841,0.001265804157725851,False,0.013081860261947202,False,2000-01-19,False
大盛工業,1844,-0.04733518864207653,False,0.07461780792411792,False,2001-01-01,False
イチケン,1847,-0.004859274166216565,False,0.03038906175475255,False,2001-01-01,False
富士ピー・エス,1848,0.0027218835287030987,False,0.008233058898036731,False,2000-04-05,False
南海辰村建設,1850,-0.0072652524972027415,False,0.043514150943396224,False,2000-04-04,False
淺沼組,1852,-0.006083269694946251,False,0.039408457725220856,False,2001-01-01,False
森組,1853,0.03955273733012129,False,0.034201226694829195,False,2000-04-04,False
戸田建設,1860,-0.016478344921594352,False,0.025833630324131187,False,2001-01-01,False
熊谷組,1861,0.027123382960163294,False,0.028458347170522078,False,2000-01-04,False
北野建設,1866,-0.0732703080910746,False,0.046097377925793895,False,2001-01-01,False
植木組,1867,0.020700622374044502,False,0.041722202549166226,False,2001-01-01,False
矢作建設工業,1870,-0.057177385404321046,False,0.06491764917649176,False,2001-01-04,False
ピーエス三菱,1871,-0.008634626564562117,False,0.05228351642320744,False,2001-01-01,False
日本ハウスホールディングス,1873,0.44832160657077474,True,0.024883001304247757,False,2000-01-04,False
大東建託,1878,-0.013017700327172014,False,0.06032787874217631,False,2001-01-01,False
新日本建設,1879,-0.0007322661005579508,False,0.15112772037810507,True,2001-01-04,False
東亜道路工業,1882,-0.027466148465219553,False,0.03989184727217594,False,2001-01-01,False
日本道路,1884,-0.013995010527596552,False,0.036665121787939646,False,2001-01-01,False
東亜建設工業,1885,-0.034906148996365204,False,0.030692656705795317,False,2001-01-01,False
日本国土開発,1887,-0.08082832615682434,False,0.029104680873140425,False,2019-03-05,False
若築建設,1888,0.08976428694566622,False,0.07423456025903528,False,2001-01-01,False
東洋建設,1890,0.01688189435826104,False,0.05343597602627843,False,2001-01-01,False
五洋建設,1893,0.05287625439875495,False,0.008201829930008661,False,2001-01-01,False
金下建設,1897,0.04521379630985859,False,0.022328548644338118,False,2000-04-04,False
世紀東急工業,1898,-0.049296334970005296,False,0.028892038998842153,False,2001-01-01,False
福田組,1899,0.049809961650439126,False,0.03208190284823195,False,2001-01-01,False
大成温調,1904,0.08050576430128575,False,0.037291722660478546,False,2000-01-04,False
テノックス,1905,0.016893268541199363,False,0.03565342401051301,False,2000-01-05,False
日本ドライケミカル,1909,-0.07381656084808152,False,0.07682015531290626,False,2011-06-29,False
住友林業,1911,-0.1366424925235411,False,0.08467379695805775,False,2001-01-04,False
日本基礎技術,1914,0.004663932425852317,False,0.03257916277184314,False,2001-01-01,False
巴コーポレーション,1921,-0.004884670297682581,False,0.10510637597776902,True,2001-01-01,False
大和ハウス工業,1925,-0.034840818263037976,False,0.09481563400342977,False,2000-01-04,False
ライト工業,1926,-0.02596150388341974,False,0.11119905369909719,True,2001-01-01,False
積水ハウス,1928,-0.07611514277138946,False,0.08720176928607427,False,2000-01-04,False
日特建設,1929,-0.033761958137635974,False,0.07476891851120436,False,2001-01-01,False
北陸電気工事,1930,0.037950139216572754,False,0.05255764170717567,False,2001-01-01,False
ユアテック,1934,-0.035173904641290964,False,0.04194998372667857,False,2001-01-01,False
日本リーテック,1938,0.04771855176305181,False,0.050019941336096496,False,2001-01-05,False
四電工,1939,-0.023331690150709312,False,0.055778725314183125,False,2001-01-01,False
中電工,1941,-0.036102635614243206,False,0.04423613058175643,False,2001-01-01,False
関電工,1942,0.048386729411742234,False,0.0604694790603033,False,2001-01-01,False
きんでん,1944,-0.011599650366166095,False,0.061449735032800774,False,2001-01-04,False
東京エネシス,1945,-0.04806985008949779,False,0.04375434823856809,False,2001-01-01,False
トーエネック,1946,-0.009676183844657404,False,0.04433058107665523,False,2001-01-01,False
弘電社,1948,0.026832810752098164,False,0.020323628453079834,False,2001-01-04,False
住友電設,1949,-0.0004555893957848278,False,0.07686729100045683,False,2001-01-01,False
日本電設工業,1950,0.04967926229822058,False,0.05612434631028472,False,2001-01-01,False
エクシオグループ,1951,-0.05780322343401819,False,0.0518684463366406,False,2001-01-01,False
新日本空調,1952,0.025234678301659635,False,0.06350125630379386,False,2001-01-01,False
九電工,1959,0.02889187003650558,False,0.08106209715930195,False,2001-01-01,False
サンテック,1960,0.06579309649387059,False,-0.021470635610957828,False,2001-01-04,False
三機工業,1961,0.02956819962514386,False,0.028360359416341394,False,2001-01-01,False
日揮ホールディングス,1963,-0.057724480512911604,False,0.060470595989388524,False,2000-01-04,False
中外炉工業,1964,0.14030204485383424,False,0.046790105804975696,False,2001-01-04,False
テクノ菱和,1965,0.0023440245671388915,False,0.05208999000475184,False,2001-01-01,False
高田工業所,1966,-0.04401782358438052,False,0.04630518925559849,False,2000-04-11,False
ヤマト,1967,0.05345165020662468,False,0.04570631258388028,False,2001-01-01,False
太平電業,1968,-0.016411003095965142,False,0.11405377900042935,True,2001-01-01,False
高砂熱学工業,1969,-0.010477441004431376,False,0.04524084278002898,False,2001-01-01,False
三晃金属工業,1972,-0.04821520580023342,False,0.08495828726505177,False,2001-01-01,False
ＮＥＣネッツエスアイ,1973,-0.014857833790637357,False,0.07091913392061147,False,2001-01-01,False
朝日工業社,1975,0.1193068012021909,False,0.0336784333291755,False,2001-01-01,False
明星工業,1976,-0.01321276036576835,False,0.12220432993379854,True,2000-04-04,False
大氣社,1979,0.018293145976506737,False,0.05383322547755281,False,2001-01-01,False
ダイダン,1980,-0.02761616462184513,False,0.04532670828829701,False,2001-01-04,False
協和日成,1981,0.004609503903599081,False,0.03312313916313385,False,2000-01-04,False
日比谷総合設備,1982,-0.03153051646084467,False,0.07092333706446927,False,2001-01-01,False
神田通信機,1992,0.0011978289428485518,False,0.08090617918018493,False,2000-01-04,False
高橋カーテンウォール工業,1994,0.08457992459511772,False,0.04852253607928831,False,2000-01-04,False
暁飯島工業,1997,0.08347149858106946,False,0.06666130318453738,False,2000-01-04,False
ニップン,2001,-0.009204084361312112,False,0.033622871212639356,False,2001-01-01,False
日清製粉グループ本社,2002,-0.033726481086262194,False,0.04110777644641603,False,2000-01-04,False
日東富士製粉,2003,-0.05870370992105293,False,0.07630140926085706,False,2001-01-01,False
昭和産業,2004,-0.0864173040625273,False,0.012490561194796046,False,2001-01-01,False
鳥越製粉,2009,-0.060486768043740646,False,0.04021393371433977,False,2001-01-04,False
中部飼料,2053,-0.08550509914270306,False,0.006858992262071005,False,2001-01-01,False
日和産業,2055,-0.07930505506820056,False,-0.00365904974478128,False,2000-04-04,False
フィード・ワン,2060,-0.10846371075781887,False,0.004621465293542615,False,2014-10-08,False
東洋精糖,2107,-0.03470318659709289,False,0.030136805234287224,False,2001-01-01,False
日本甜菜製糖,2108,-0.040959469566502836,False,0.023179979388737636,False,2001-01-01,False
ＤＭ三井製糖ホールディングス,2109,-0.10418226623587727,False,0.0067417794378788806,False,2001-01-01,False
塩水港精糖,2112,-0.025021464940678584,False,0.022289803220035778,False,2001-01-01,False
フジ日本精糖,2114,-0.05684231744003587,False,0.07999346675337682,False,2001-01-05,False
ウェルネオシュガー,2117,-0.056007378410253016,False,0.027524979861860935,False,2001-01-01,False
ＬＩＦＵＬＬ,2120,-0.009218349017376282,False,0.05381128965801401,False,2006-10-31,False
ＭＩＸＩ,2121,-0.0837448917776894,False,0.16899643895497288,True,2006-09-14,False
インタースペース,2122,0.7672616704563068,True,0.10871892005198278,True,2006-09-19,False
ジェイエイシーリクルートメント,2124,-0.14363926995310305,False,0.23846265409717185,True,2006-09-22,False
日本Ｍ＆Ａセンターホールディングス,2127,-0.08031363301731258,False,0.3702787820499105,True,2006-10-10,False
メンバーズ,2130,-0.1558238915391299,False,0.08162991114175015,False,2016-04-21,False
燦キャピタルマネージメント,2134,0.10305525541855183,False,-1.2639874577577597,False,2006-12-07,False
ヒップ,2136,-0.00043548330399275265,False,0.10552888821352997,True,2006-12-20,False
クルーズ,2138,0.4549449615704953,True,0.04605762089776402,False,2007-02-14,False
中広,2139,-0.061442075507717964,False,0.02223833335485833,False,2014-12-22,False
ＵＴグループ,2146,-0.15597335994976494,False,0.05227068938235139,False,2003-12-12,False
アイティメディア,2148,-0.15262286732287633,False,0.33481279583680235,True,2007-04-19,False
ケアネット,2150,-0.18930571028509532,False,0.23727375609817097,True,2007-04-20,False
幼児活動研究会,2152,0.003806017412138818,False,0.21005512887643435,True,2007-05-28,False
Ｅ・Ｊホールディングス,2153,-0.06694285656201286,False,0.11911807832786799,True,2007-06-01,False
オープンアップグループ,2154,-0.1962628022421541,False,0.07892311783732969,False,2007-06-06,False
セーラー広告,2156,0.8217556623715656,True,0.07986512684103998,False,2007-06-21,False
コシダカホールディングス,2157,0.10849276148091713,False,0.14035161774247631,True,2007-06-27,False
ＦＲＯＮＴＥＯ,2158,0.15782028749237043,False,-0.1887649388033989,False,2007-06-26,False
ジーエヌアイグループ,2160,-0.27719823444776026,False,0.5039813620393032,True,2007-08-31,False
ｎｍｓ　ホールディングス,2162,-0.0636919973005498,False,0.01945494230791276,False,2007-10-25,False
アルトナー,2163,-0.10790088187010154,False,0.15062028436903963,True,2007-10-26,False
地域新聞社,2164,-0.02950789111708581,False,-0.007143838298517928,False,2007-12-28,False
パソナグループ,2168,-0.04405363439688181,False,0.03858778943526071,False,2003-10-28,False
ＣＤＳ,2169,-0.06536726163395923,False,0.15075596498316055,True,2008-09-05,False
リンクアンドモチベーション,2170,-0.03203175725373042,False,0.13612411316200065,True,2007-12-17,False
博展,2173,0.07442809840824112,False,0.053004256093116944,False,2008-03-03,False
エス・エム・エス,2175,-0.08218701795512921,False,0.1594148947817899,True,2008-03-13,False
成学社,2179,-0.011025405368639718,False,0.056202969068728376,False,2008-08-22,False
サニーサイドアップグループ,2180,-0.09321470115373864,False,0.0684046992036784,False,2008-09-05,False
パーソルホールディングス,2181,-0.0720675114853591,False,0.043352476006297554,False,2006-03-17,False
リニカル,2183,-0.04114863284959417,False,0.10039971245501517,True,2008-10-27,False
シイエム・シイ,2185,-0.02554893219451515,False,0.14185407386274457,True,2008-12-04,False
ソーバル,2186,0.010332840375634348,False,0.07885751460413996,False,2008-12-12,False
クックパッド,2193,0.13485628902137536,False,-0.3680459294167135,False,2009-07-21,False
アミタホールディングス,2195,0.008674938544413147,False,0.10408026101185076,True,2010-01-04,False
エスクリ,2196,0.3107641515400519,True,0.008741329021850588,False,2010-03-05,False
アイ・ケイ・ケイホールディングス,2198,-0.25659822623280665,False,0.08890978817260714,False,2010-07-23,False
森永製菓,2201,0.034084660345534555,False,0.0783853724539931,False,2001-01-01,False
中村屋,2204,0.011362815850767483,False,-0.006906082359464089,False,2001-01-01,False
江崎グリコ,2206,0.014662493394661599,False,0.05600288643675396,False,2001-01-01,False
